State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Uttar Pradesh,#N/A,90569,290274,3.21
Uttar Pradesh,#N/A,91366,306624,3.36
Uttar Pradesh,#N/A,90988,355399,3.91
Uttar Pradesh,#N/A,91078,376972,4.14
Uttar Pradesh,#N/A,95295,394521,4.14
Uttar Pradesh,#N/A,104802,422981,4.04
Uttar Pradesh,#N/A,47418,149041,3.14
Uttar Pradesh,#N/A,48269,137416,2.85
Uttar Pradesh,#N/A,48216,131630,2.73
Uttar Pradesh,#N/A,48033,74114,1.54
Uttar Pradesh,#N/A,48930,108576,2.22
Uttar Pradesh,#N/A,47044,156092,3.32
Uttar Pradesh,#N/A,49038,186639,3.81
Uttar Pradesh,#N/A,49437,185620,3.75
Uttar Pradesh,#N/A,46356,127287,2.75
Uttar Pradesh,#N/A,47585,172591,3.63
Uttar Pradesh,#N/A,49711,176872,3.56
Uttar Pradesh,#N/A,48863,136621,2.8
Uttar Pradesh,#N/A,247222,940185,3.8
Uttar Pradesh,#N/A,264247,959481,3.63
Uttar Pradesh,#N/A,255240,934689,3.66
Uttar Pradesh,#N/A,260462,517017,1.98
Uttar Pradesh,#N/A,253360,889040,3.51
Uttar Pradesh,#N/A,250679,1054356,4.21
Uttar Pradesh,#N/A,247700,989809,4
Uttar Pradesh,#N/A,272458,1216792,4.47
Uttar Pradesh,#N/A,256371,1113932,4.35
Uttar Pradesh,#N/A,252861,1126749,4.46
Uttar Pradesh,#N/A,266855,1192575,4.47
Uttar Pradesh,#N/A,231514,1006854,4.35
Uttar Pradesh,#N/A,50033,188124,3.76
Uttar Pradesh,#N/A,46385,173665,3.74
Uttar Pradesh,#N/A,49296,149367,3.03
Uttar Pradesh,#N/A,53363,217241,4.07
Uttar Pradesh,#N/A,49142,208608,4.25
Uttar Pradesh,#N/A,49633,228014,4.59
Uttar Pradesh,#N/A,48655,222451,4.57
Uttar Pradesh,#N/A,48689,231711,4.76
Uttar Pradesh,#N/A,50333,242001,4.81
Uttar Pradesh,#N/A,51942,226155,4.35
Uttar Pradesh,#N/A,55001,268845,4.89
Uttar Pradesh,#N/A,67143,198340,2.95
Uttar Pradesh,#N/A,63787,171523,2.69
Uttar Pradesh,#N/A,70928,216401,3.05
Uttar Pradesh,#N/A,68165,182410,2.68
Uttar Pradesh,#N/A,70143,186300,2.66
Uttar Pradesh,#N/A,70872,212687,3
Uttar Pradesh,#N/A,68574,220945,3.22
Uttar Pradesh,#N/A,72186,246948,3.42
Uttar Pradesh,#N/A,70486,233943,3.32
Uttar Pradesh,#N/A,70402,238944,3.39
Uttar Pradesh,#N/A,73327,264124,3.6
Uttar Pradesh,#N/A,98200,328970,3.35
Uttar Pradesh,#N/A,157619,537638,3.41
Uttar Pradesh,#N/A,159883,567105,3.55
Uttar Pradesh,#N/A,157897,596693,3.78
Uttar Pradesh,#N/A,161544,408222,2.53
Uttar Pradesh,#N/A,150792,503947,3.34
Uttar Pradesh,#N/A,156380,618796,3.96
