State,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Haryana,9.753472222222221,9.5,8.5,11.800000190734863,0.8022462649454721
Haryana,11.444444444444445,11.5,9.600000381469727,13.199999809265137,0.6753371475327429
Haryana,10.218055725097656,10.100000381469727,8.699999809265137,12.199999809265137,0.667463383452973
Haryana,9.704929405534772,9.550000190734863,8.800000190734863,12.5,0.6981189343511179
Haryana,9.56547619047619,9.5,8.699999809265137,12.399999618530273,0.5566682450285138
Haryana,9.350000554865057,9.300000190734863,8.5,10.300000190734863,0.5391491677800869
Haryana,10.392308161808895,10.399999618530273,9.800000190734863,10.800000190734863,0.2840951161489829
Haryana,10.817020930296986,10.699999809265137,8.300000190734863,13.0,0.9693865655580007
Haryana,10.386806064181858,10.149999618530273,9.100000381469727,13.199999809265137,0.8647612357439886
Haryana,10.463570731026786,10.399999618530273,9.100000381469727,12.100000381469727,0.5783240051961641
Haryana,9.760377128169221,9.699999809265137,8.600000381469727,11.100000381469727,0.6373114842708694
Haryana,9.634883437045785,9.600000381469727,8.699999809265137,11.100000381469727,0.5206810332410087
Haryana,10.260465400163518,9.899999618530273,9.100000381469727,14.800000190734863,1.1454946382858435
Haryana,,,,,
Haryana,9.685714721679688,9.449999809265137,8.899999618530273,10.899999618530273,0.5730334660097333
Haryana,11.22857181609623,10.949999809265137,8.699999809265137,13.199999809265137,1.0659116917986007
Haryana,10.213286713286713,10.199999809265137,8.600000381469727,12.899999618530273,0.7892847038276002
Haryana,10.899305555555555,10.550000190734863,9.100000381469727,13.600000381469727,1.1889244199431936
Haryana,10.655671109858247,10.300000190734863,9.300000190734863,13.399999618530273,0.9491144636729348
Haryana,10.545454545454545,10.449999809265137,9.699999809265137,11.399999618530273,0.4539996360508404
Haryana,8.57777828640408,8.550000190734863,8.199999809265137,9.199999809265137,0.257240892835912
Haryana,9.553845527844551,9.5,8.100000381469727,10.800000190734863,0.7456470388113433
Haryana,11.374528992850825,10.949999809265137,9.199999809265137,14.199999809265137,1.2039291872698823
Haryana,10.53450635453345,10.5,9.0,13.399999618530273,0.7421937281958378
Haryana,10.706250508626303,10.5,8.899999618530273,13.0,0.9967460093543447
Haryana,10.392857142857142,10.100000381469727,8.899999618530273,13.100000381469727,0.9956076940386013
Haryana,10.573611789279514,10.300000190734863,8.899999618530273,13.5,1.065949367993942
Haryana,10.616279069767442,10.600000381469727,9.600000381469727,12.0,0.5392775346660873
Haryana,10.6499997652494,10.699999809265137,9.899999618530273,11.600000381469727,0.42358373043852204
Haryana,7.5363637750799,7.599999904632568,7.300000190734863,7.699999809265137,0.13666620037742144
Haryana,7.704166412353516,7.699999809265137,7.300000190734863,8.300000190734863,0.20202967088577037
Haryana,8.30813953488372,8.300000190734863,7.800000190734863,9.0,0.2620203583072341
Haryana,9.078632061298077,9.0,8.199999809265137,11.0,0.5147115909625257
Haryana,9.325713820684523,9.100000381469727,8.399999618530273,11.0,0.6058490717171853
Haryana,10.300693935818142,10.399999618530273,8.800000190734863,11.300000190734863,0.45269202422563737
Haryana,10.262500339084202,10.199999809265137,9.399999618530273,11.699999809265137,0.4302575043651065
Haryana,10.852082994249132,10.600000381469727,9.300000190734863,13.5,0.872971330734765
Haryana,10.665278116861979,10.600000381469727,9.699999809265137,13.0,0.5735270490640684
Haryana,10.45277828640408,10.300000190734863,9.199999809265137,12.399999618530273,0.5998777986903504
Haryana,10.577777438693577,10.449999809265137,9.5,12.199999809265137,0.6499406688100764
Haryana,10.515384273929195,10.5,9.199999809265137,12.5,0.5391404283503278
Haryana,10.616666158040365,10.75,9.600000381469727,11.699999809265137,0.6587023419139807
Haryana,9.200000339084202,9.300000190734863,8.5,10.199999809265137,0.5999998869720566
Haryana,9.066667145373774,9.050000190734863,7.599999904632568,10.600000381469727,0.7460133876247149
