Year,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,State
2020,Kharif,32.048852459016395,37.0477868852459,27.265983606557377,552.9,2408.95,60.81065573770491,1.8459836065573771,Haryana
2020,Rabi,19.42582159624413,27.822018779342724,12.779483568075118,144.06,3258.25,46.872910798122064,1.6565727699530517,Haryana
2021,Kharif,30.897131147540982,35.545819672131145,26.34762295081967,808.37,2258.24,66.45532786885246,1.8778688524590164,Haryana
2021,Rabi,20.208584905660377,28.582688679245283,13.399245283018868,93.08,3333.45,45.69028301886792,1.6536792452830187,Haryana
2022,Kharif,31.458360655737707,36.451967213114756,26.723114754098358,683.52,2320.48,62.52098360655738,2.129426229508197,Haryana
2022,Rabi,20.42330188679245,28.794009433962263,13.76806603773585,150.37,3277.12,51.22825471698113,1.6718867924528302,Haryana
2011,Kharif,30.56581967213115,35.49393442622951,25.989262295081968,505.68,2505.48,63.22147540983607,2.829590163934426,Rajasthan
2011,Rabi,21.255613207547167,29.884575471698113,14.052028301886793,25.59,3874.12,35.053396226415096,1.808867924528302,Rajasthan
2012,Kharif,31.063196721311474,36.21147540983607,26.129180327868855,503.43,2485.95,57.03450819672131,2.893606557377049,Rajasthan
2012,Rabi,20.347183098591547,28.83150234741784,13.27150234741784,22.259999999999998,3845.62,31.35943661971831,1.8176525821596246,Rajasthan
2013,Kharif,30.478852459016395,35.637131147540984,25.579262295081968,515.66,2618.19,62.34327868852459,2.612704918032787,Rajasthan
2013,Rabi,20.704952830188677,28.984198113207544,13.96740566037736,56.36,3780.89,37.74297169811321,1.7965094339622643,Rajasthan
2014,Kharif,31.32,37.0155737704918,25.991967213114755,377.41,2734.69,55.3905737704918,3.2459016393442623,Rajasthan
2014,Rabi,20.971084905660376,29.43509433962264,13.87816037735849,46.29,3732.19,33.92216981132076,1.824811320754717,Rajasthan
2015,Kharif,30.767049180327867,36.57950819672131,25.263196721311477,334.17,2627.61,55.46262295081968,2.7681967213114755,Rajasthan
2015,Rabi,21.288537735849058,29.868820754716978,14.130330188679245,98.38,3704.02,35.3461320754717,1.923066037735849,Rajasthan
2016,Kharif,30.648688524590163,36.214999999999996,25.555655737704917,443.06,2607.17,60.685081967213115,2.725245901639344,Rajasthan
2016,Rabi,22.5587323943662,31.25474178403756,15.33718309859155,60.48,3821.31,30.285070422535213,1.852769953051643,Rajasthan
2017,Kharif,30.636639344262296,36.20172131147541,25.52172131147541,355.75,2527.31,59.8077868852459,2.683606557377049,Rajasthan
2017,Rabi,21.933537735849058,30.82117924528302,14.653490566037735,33.57,3787.11,28.245943396226416,1.983066037735849,Rajasthan
2018,Kharif,30.56565573770492,36.03139344262295,25.534754098360654,382.33,2381.91,58.24581967213115,2.982049180327869,Rajasthan
2018,Rabi,22.300330188679247,31.219575471698114,14.908632075471699,10.14,3821.53,26.218443396226416,1.8541037735849055,Rajasthan
2019,Kharif,31.18450819672131,36.08467213114754,26.5494262295082,583.13,2515.26,62.11344262295082,2.5671311475409837,Rajasthan
2019,Rabi,20.800990566037736,28.614056603773587,14.19872641509434,53.21,3527.41,41.219669811320756,1.7766981132075472,Rajasthan
2020,Kharif,31.620327868852456,37.01180327868852,26.56204918032787,373.35,2544.84,59.50524590163935,2.503606557377049,Rajasthan
2020,Rabi,20.824319248826292,29.24478873239437,13.704225352112676,50.81,3621.02,37.68319248826291,1.8630516431924882,Rajasthan
2021,Kharif,31.29139344262295,36.23245901639344,26.659344262295082,436.28,2439.45,60.74672131147541,2.8652459016393443,Rajasthan
2021,Rabi,22.085,30.667830188679243,14.979669811320756,44.91,3705.0,36.669481132075475,1.9094811320754717,Rajasthan
2022,Kharif,30.00204918032787,34.67959016393443,25.661967213114757,576.47,2413.46,66.79262295081968,2.6465573770491804,Rajasthan
2022,Rabi,22.415235849056604,31.198396226415095,15.14245283018868,61.4,3808.84,37.78702830188679,1.9423584905660376,Rajasthan
2011,Kharif,29.840819672131147,33.600573770491806,26.36565573770492,1114.29,2150.93,76.20573770491804,2.3195901639344263,Uttar Pradesh
2011,Rabi,21.12198113207547,29.054481132075473,14.390943396226415,30.79,3429.54,50.27226415094339,1.524245283018868,Uttar Pradesh
2012,Kharif,31.283688524590165,35.6955737704918,27.033770491803278,1021.84,2205.84,67.13377049180328,2.4396721311475407,Uttar Pradesh
2012,Rabi,20.27150234741784,28.326854460093895,13.368075117370893,86.11,3518.25,51.027652582159625,1.7913615023474179,Uttar Pradesh
2013,Kharif,29.62532786885246,33.462786885245905,26.023196721311475,981.17,2168.28,77.60540983606558,2.1707377049180328,Uttar Pradesh
2013,Rabi,20.718301886792453,28.694811320754717,14.09943396226415,245.66,3332.21,54.68556603773585,1.8710849056603773,Uttar Pradesh
2014,Kharif,32.198934426229506,37.111311475409835,27.35344262295082,675.54,2375.84,60.762131147540984,2.0797540983606555,Uttar Pradesh
2014,Rabi,20.976462264150946,29.288726415094338,14.016084905660376,187.1,3282.99,46.61655660377358,1.9401415094339622,Uttar Pradesh
2015,Kharif,31.88188524590164,36.96950819672131,27.087377049180326,541.76,2478.75,60.198196721311476,2.2864754098360653,Uttar Pradesh
2015,Rabi,22.17816037735849,30.332169811320757,15.270990566037735,184.15,3216.9,42.3222641509434,1.7479716981132074,Uttar Pradesh
2016,Kharif,30.28532786885246,34.147295081967215,26.704754098360656,896.1899999999999,2171.3,74.59319672131149,2.0923770491803277,Uttar Pradesh
2016,Rabi,22.862910798122066,31.357417840375586,15.729014084507043,74.06,3381.17,37.305962441314556,1.7559154929577465,Uttar Pradesh
2017,Kharif,30.463032786885247,34.486639344262294,26.688606557377046,1024.24,2109.23,72.92409836065573,2.070655737704918,Uttar Pradesh
2017,Rabi,22.38080188679245,30.556650943396228,15.29438679245283,50.62,3449.79,42.763773584905664,1.706933962264151,Uttar Pradesh
2018,Kharif,30.582459016393443,34.56918032786885,26.89655737704918,1315.53,2001.62,73.19278688524591,2.4109016393442624,Uttar Pradesh
2018,Rabi,21.87891509433962,30.295896226415092,14.858349056603773,42.65,3475.93,44.040613207547175,1.7428773584905661,Uttar Pradesh
2019,Kharif,30.912704918032787,34.73754098360656,27.290491803278687,1171.93,2074.15,72.14844262295082,2.2771311475409837,Uttar Pradesh
2019,Rabi,20.656933962264148,27.922216981132078,14.400660377358491,125.58,3149.75,57.2161320754717,1.6765094339622642,Uttar Pradesh
2020,Kharif,29.76967213114754,33.771147540983605,26.133852459016392,788.01,2086.3,76.60344262295082,2.1195081967213114,Uttar Pradesh
2020,Rabi,20.631408450704225,28.571596244131456,14.111361502347417,165.91,3262.51,52.72826291079813,1.7502816901408451,Uttar Pradesh
2021,Kharif,29.503032786885246,33.10106557377049,26.250737704918034,1037.59,2047.65,79.82639344262294,2.096311475409836,Uttar Pradesh
2021,Rabi,21.75509433962264,29.61245283018868,15.051084905660376,159.6,3333.54,47.563726415094344,1.8355188679245282,Uttar Pradesh
2022,Kharif,31.687131147540985,36.352377049180326,27.372049180327867,686.3100000000001,2178.66,63.88811475409836,2.593688524590164,Uttar Pradesh
2022,Rabi,20.568537735849056,28.00462264150943,14.275471698113208,330.69,3359.42,61.42070754716981,1.7172641509433961,Uttar Pradesh
2011,Kharif,28.54581967213115,32.636721311475405,24.65122950819672,1120.7,2415.25,73.59778688524591,1.6708196721311475,Chandigarh
2011,Rabi,18.84254716981132,26.39858490566038,13.19245283018868,81.17,3551.9900000000002,46.76957547169811,1.7133962264150944,Chandigarh
2012,Kharif,30.871885245901638,35.985163934426225,26.062868852459015,761.14,2549.54,58.65032786885246,1.8951639344262297,Chandigarh
2012,Rabi,18.925164319248825,26.774976525821597,13.223896713615023,87.2,3528.42,41.122769953051645,1.888967136150235,Chandigarh
2013,Kharif,28.820409836065576,32.81147540983606,24.909918032786884,1174.1,2440.15,72.61442622950818,1.5352459016393443,Chandigarh
2013,Rabi,18.963962264150943,26.33570754716981,13.638632075471698,223.1,3406.2,49.07466981132075,1.8521698113207548,Chandigarh
2014,Kharif,31.703524590163934,37.26303278688525,26.480737704918035,557.51,2623.93,51.82754098360656,2.0229508196721313,Chandigarh
2014,Rabi,18.753301886792453,26.376603773584907,13.247311320754717,266.69,3408.7400000000002,46.53712264150944,1.872877358490566,Chandigarh
2015,Kharif,29.421639344262296,34.33295081967213,24.787950819672133,840.64,2563.15,62.88696721311475,1.7577868852459015,Chandigarh
2015,Rabi,19.41617924528302,26.784575471698112,14.022783018867925,278.99,3382.2,47.279481132075475,1.8676415094339622,Chandigarh
